LoanID,IssueDate,IssueYear,IssueMonth,LoanAmount,Term_Months,InterestRate,Grade,Purpose,HomeOwnership,EmploymentLength,AnnualIncome,DTI,RevolvingUtilization,CreditHistoryYears,Delinquencies2Yrs,OpenAccounts,DefaultFlag,LoanStatus,DTI_Segment,RiskTier,HighRevolvingUtil,ThinFile,HighDTI,LoanToIncome,DefaultProbability,CapitalAtRisk
LC001000,2023-11-01,2023,11,10000,60,10.26,B,Debt Consolidation,RENT,8 years,39147,25.93,22.48,15.4,0,11,0,Fully Paid,DTI 20-30% (Moderate),Grade A/B (Prime),0,0,0,0.2554,0.0767,767
LC001001,2024-12-01,2024,12,15000,60,27.05,F,Small Business,RENT,10+ years,56505,14.49,10.51,11.1,0,7,1,Charged Off,DTI < 20% (Low),Grade E/F (Critical),0,0,0,0.2655,0.3847,5770
LC001002,2024-05-01,2024,5,15000,60,16.31,D,Auto,OWN,3 years,54525,37.65,37.61,23.4,0,5,1,Charged Off,DTI 30-43% (High),Grade C/D (High),0,0,0,0.2751,0.2436,3654
LC001003,2023-07-01,2023,7,20000,60,13.16,C,Medical,RENT,7 years,68866,26.29,58.4,5.2,1,14,0,Fully Paid,DTI 20-30% (Moderate),Grade C/D (High),0,0,0,0.2904,0.1864,3727
LC001004,2020-03-01,2020,3,20000,60,6.03,A,Education,RENT,7 years,47367,34.77,43.65,14.2,2,14,0,Fully Paid,DTI 30-43% (High),Grade A/B (Prime),0,0,0,0.4222,0.1025,2050
LC001005,2021-09-01,2021,9,5000,36,5.84,A,Medical,MORTGAGE,10+ years,21630,49.39,21.17,9.8,0,3,0,Fully Paid,DTI > 43% (Very High),Grade A/B (Prime),0,0,1,0.2312,0.1502,751
LC001006,2024-09-01,2024,9,25000,36,5.48,A,Medical,RENT,10+ years,43635,35.56,2.47,6.6,0,7,0,Fully Paid,DTI 30-43% (High),Grade A/B (Prime),0,0,0,0.5729,0.1044,2611
LC001007,2024-08-01,2024,8,25000,36,20.0,E,Education,MORTGAGE,< 1 year,80572,12.71,33.56,14.9,0,6,1,Charged Off,DTI < 20% (Low),Grade E/F (Critical),0,0,0,0.3103,0.2753,6882
LC001008,2023-01-01,2023,1,15000,60,16.49,D,Debt Consolidation,RENT,8 years,46691,39.28,10.53,15.0,0,11,0,Fully Paid,DTI 30-43% (High),Grade C/D (High),0,0,0,0.3213,0.2501,3752
LC001009,2023-12-01,2023,12,5000,36,16.93,D,Small Business,MORTGAGE,< 1 year,47897,19.86,63.68,9.6,0,6,1,Charged Off,DTI < 20% (Low),Grade C/D (High),0,0,0,0.1044,0.2166,1083
LC001010,2024-12-01,2024,12,25000,60,6.32,A,Debt Consolidation,RENT,6 years,88715,29.28,74.05,33.6,0,6,0,Fully Paid,DTI 20-30% (Moderate),Grade A/B (Prime),0,0,0,0.2818,0.1022,2556
LC001011,2022-02-01,2022,2,40000,36,26.47,F,Vacation,RENT,3 years,37950,16.18,53.2,23.3,0,8,0,Fully Paid,DTI < 20% (Low),Grade E/F (Critical),0,0,0,1.054,0.3794,15176
